"Smax(2,3) [MVA]",Eigen Ratio,ACOPF Objective Value,SDPOPF Objective Value,Delta [%],Physically Meaningfull Solution
60,2.98E+08,6792.11,6792.10837,-0.00002,YES
57.5,1.21E+08,6802.48,6802.475712,-0.00006,YES
55,4.94E+08,6817.05,6817.052975,0.00004,YES
52.5,186.8184409,6844.53,6842.891294,-0.02394,NO
50,58.09678175,6897.64,6874.913996,-0.32948,NO
