"Smax(8,2) [MVA]",Eigen Ratio,ACOPF Objective Value,SDPOPF Objective Value,Delta [%],Physically Meaningfull Solution
250,615.1388593,5296.69,5296.684068,-0.00011,YES
225,617.2944649,5296.69,5296.684246,-0.00011,YES
200,618.1787637,5296.69,5296.684877,-0.00010,YES
175,618.3000228,5296.69,5296.685639,-0.00008,YES
150,620.7352811,5296.69,5296.685794,-0.00008,YES
125,533.7615503,5309.83,5309.829855,0.00000,YES
100,487.9671059,5468.04,5468.03981,0.00000,YES
75,530.4334318,5808.05,5808.046019,-0.00007,YES
50,623.0386997,6331.39,6331.380999,-0.00014,YES
